country,region,population,income,health_expenditure,life_expectancy,babies_per_woman
Lithuania,Europe,3120000.00,24000.00,781.00,73.30,1.51
Luxembourg,Europe,508000.00,108000.00,8180.00,80.80,1.58
Madagascar,Africa,21200000.00,1550.00,15.90,61.70,4.60
Malawi,Africa,14500000.00,969.00,25.60,54.20,5.31
Malaysia,Asia,28200000.00,20500.00,368.00,74.40,2.15
Maldives,Asia,366000.00,16300.00,383.00,79.20,2.23
Mali,Africa,15000000.00,2080.00,31.70,59.40,6.55
Malta,Europe,414000.00,32900.00,1700.00,80.40,1.39
Marshall Islands,Oceania,56400.00,3650.00,520.00,63.00,NA
Mauritania,Africa,3490000.00,4770.00,42.70,68.20,4.98
Mauritius,Africa,1250000.00,16800.00,449.00,74.00,1.58
Mexico,Americas,114000000.00,17800.00,NA,75.20,2.34
Micronesia. Fed. Sts.,Oceania,103000.00,3660.00,366.00,67.00,3.46
Moldova,Europe,4090000.00,8550.00,190.00,69.80,1.27
Monaco,Europe,35600.00,60500.00,6330.00,NA,NA
Mongolia,Asia,2720000.00,7480.00,120.00,66.00,2.64
Montenegro,Europe,624000.00,16800.00,578.00,76.00,1.77
Morocco,Africa,32300000.00,6280.00,148.00,72.10,2.58
Mozambique,Africa,23500000.00,1030.00,21.30,52.00,5.56
Myanmar,Asia,50600000.00,3130.00,17.10,64.80,2.41
Namibia,Africa,2120000.00,8890.00,361.00,59.00,3.61
Nauru,Oceania,10000.00,6700.00,713.00,NA,NA
Nepal,Asia,27000000.00,2360.00,NA,69.20,2.61
Netherlands,Europe,16700000.00,52200.00,5590.00,80.80,1.80
New Zealand,Oceania,4370000.00,37800.00,3280.00,80.70,2.12
Nicaragua,Americas,5820000.00,4610.00,NA,77.60,2.43
Niger,Africa,16500000.00,1040.00,18.30,59.10,7.49
Nigeria,Africa,159000000.00,4930.00,62.80,60.50,5.84
North Macedonia,Europe,2070000.00,13500.00,317.00,75.90,1.47
Norway,Europe,4890000.00,61500.00,8090.00,80.90,1.95
Oman,Asia,3040000.00,33900.00,574.00,75.20,2.90
Pakistan,Asia,179000000.00,3910.00,21.80,64.30,3.86
Palau,Oceania,18000.00,15100.00,850.00,NA,NA
Palestine. State of,Asia,4060000.00,5410.00,NA,73.90,NA
Panama,Americas,3640000.00,21300.00,616.00,78.20,2.62
Papua New Guinea,Oceania,7310000.00,3410.00,49.40,56.30,3.99
Paraguay,Americas,6250000.00,10400.00,163.00,74.60,2.73
Peru,Americas,29000000.00,10100.00,269.00,77.50,2.55
Philippines,Asia,94000000.00,5920.00,77.30,69.20,3.16
Poland,Europe,38300000.00,24100.00,917.00,76.40,1.37
Portugal,Europe,10600000.00,31900.00,2370.00,80.00,1.33
Qatar,Asia,1860000.00,95900.00,1490.00,78.00,2.07
Romania,Europe,20500000.00,20400.00,428.00,73.70,1.47
Russian Federation,Europe,143000000.00,24000.00,525.00,68.10,NA
Rwanda,Africa,10000000.00,1510.00,55.50,64.30,4.52
Samoa,Oceania,186000.00,6010.00,204.00,72.50,4.34
San Marino,Europe,31200.00,71600.00,3660.00,NA,NA
Sao Tome and Principe,Africa,180000.00,3360.00,90.00,68.90,4.79
Saudi Arabia,Asia,27400000.00,44000.00,680.00,74.80,2.96
Senegal,Africa,12700000.00,2740.00,58.50,65.90,5.06
Serbia,Europe,8990000.00,14600.00,546.00,74.40,1.58
Seychelles,Africa,91300.00,21000.00,369.00,73.20,2.36
Sierra Leone,Africa,6420000.00,1410.00,42.50,55.40,5.20
Singapore,Asia,5130000.00,78200.00,1730.00,83.20,1.26
Slovak Republic,Europe,5400000.00,25500.00,1410.00,75.60,1.36
Slovenia,Europe,2040000.00,33500.00,2150.00,79.50,1.52
Solomon Islands,Oceania,528000.00,2440.00,107.00,61.70,4.24
Somalia,Africa,12000000.00,686.00,NA,55.00,6.87
South Africa,Africa,51200000.00,12500.00,649.00,56.10,2.59
South Sudan,Africa,9510000.00,4490.00,NA,57.80,5.38
Spain,Europe,46900000.00,37400.00,2880.00,82.00,1.37
Sri Lanka,Asia,20300000.00,9130.00,70.00,74.70,2.20
Sudan,Africa,34500000.00,3220.00,83.90,67.70,4.88
Suriname,Americas,529000.00,17000.00,492.00,71.40,2.52
Sweden,Europe,9390000.00,47900.00,4710.00,81.50,1.99
Switzerland,Europe,7810000.00,64300.00,7810.00,82.50,1.50
Syrian Arab Republic,Asia,21400000.00,7500.00,96.60,75.80,NA
Tajikistan,Asia,7530000.00,2260.00,49.10,69.80,3.51
Tanzania. United Republic of,Africa,44300000.00,2010.00,30.90,60.90,NA
Thailand,Asia,67200000.00,14400.00,179.00,77.00,1.55
Timor-Leste,Asia,1090000.00,2930.00,56.90,70.00,6.23
Togo,Africa,6420000.00,1230.00,40.60,59.20,4.87
Tonga,Oceania,104000.00,5170.00,172.00,71.00,3.91
Trinidad and Tobago,Americas,1330000.00,28900.00,861.00,73.60,1.81
Tunisia,Africa,10600000.00,10100.00,238.00,77.00,2.14
Turkey,Asia,72300000.00,20100.00,678.00,77.60,2.16
Turkmenistan,Asia,5090000.00,8620.00,106.00,69.60,2.83
Tuvalu,Oceania,10500.00,3280.00,568.00,NA,NA
Uganda,Africa,32400000.00,1860.00,46.70,59.10,6.15
Ukraine,Europe,45800000.00,11800.00,234.00,70.80,1.45
United Arab Emirates,Asia,8550000.00,54900.00,1450.00,72.90,1.87
United Kingdom of Great Britain and Northern Ireland,Europe,63500000.00,42100.00,3500.00,80.40,NA
United States of America,Americas,309000000.00,54400.00,8360.00,78.70,NA
Uruguay,Americas,3360000.00,17700.00,998.00,76.40,2.08
Uzbekistan,Asia,28500000.00,4650.00,82.40,68.80,2.44
Vanuatu,Oceania,236000.00,3240.00,157.00,64.00,3.50
Venezuela (Bolivarian Republic of),Americas,28400000.00,19700.00,663.00,75.30,NA
Viet Nam,Asia,88000000.00,5090.00,82.90,73.50,NA
Yemen,Asia,23200000.00,5540.00,63.20,68.00,4.67
Zambia,Africa,13600000.00,3130.00,72.90,56.00,5.40
Zimbabwe,Africa,12700000,2270,NA,49.7,4.03
